date,text,retweets,replies,favorites,tweet_interactions,permalink,to,hashtags,mentions
2018-05-20,"Tesla dual motor, all-wheel drive performance Model 3: 3.5 sec 0-60mph 155 mph Top Speed 310 mile Range",4624,1083,39589,45296,https://twitter.com/elonmusk/status/998084314200862720,,,
2019-01-09,"Btw, you can buy a Tesla online in less than 2 mins & give it back for a full refund for any reason http://Tesla.com",4224,2707,38324,45255,https://twitter.com/elonmusk/status/1083121972857487360,,,
2019-09-07,Tesla doing laps at Nerdburgering,2831,700,41664,45195,https://twitter.com/elonmusk/status/1170395921831493632,Tesla,,
2019-04-13,Please note that the price of the Tesla Full Self-Driving option will increase substantially over time,1967,2355,40802,45124,https://twitter.com/elonmusk/status/1117116982778679297,,,
2017-10-26,"Btw, just want to express a word of appreciation for the hard work of the Tesla Gigafactory team. Reason I camped on the roof was because it was less time than driving to a hotel room in Reno. Production hell, ~8th circle …",3298,1205,40480,44983,https://twitter.com/elonmusk/status/923657991664095232,,,
2017-02-15,Congrats to the Tesla owner who sacrificed damage to his own car to bring a car with an unconscious driver safely to a stop!,7618,444,36692,44754,https://twitter.com/elonmusk/status/831969536584806400,,,
2018-04-02,"Tesla policy is to issue a recall *before* there are injuries. This is absolutely the right thing to do. Yet there were dozens of recalls by other car companies last month, incl w injuries & deaths, but you only wrote an article about Tesla. Why so?",4650,1264,38820,44734,https://twitter.com/elonmusk/status/980883549074018304,WSJ,,
2018-07-12,Just finished an amazing 3 day visit to China. The world has never seen human energy & vigor at such scale. Incredibly impressed with Tesla China team & potential for the future.,2684,1150,40252,44086,https://twitter.com/elonmusk/status/1017333757077008385,,,
2018-10-17,Just reviewed Tesla’s service locations in North America & realized we have major gaps in geographic coverage! Sorry for this foolish oversight. Tesla will aim to cover all regions of NA (not just big cities) within 3 to 6 months.,2445,1621,39633,43699,https://twitter.com/elonmusk/status/1052356093534302208,,,
2017-10-05,"The Tesla team has done this for many smaller islands around the world, but there is no scalability limit, so it can be done for Puerto Rico too. Such a decision would be in the hands of the PR govt, PUC, any commercial stakeholders and, most importantly, the people of PR.",9409,1195,32592,43196,https://twitter.com/elonmusk/status/915939199718531072,stapf,,
2017-07-07,This will be the highest power battery system in the world by a factor of 3. Australia rocks!!,8814,1375,32743,42932,https://twitter.com/elonmusk/status/883169447472750592,Tesla,,
2018-09-28,Huge thank you to all Tesla supporters for helping with car deliveries all around the world. You rock!!,1804,1115,39635,42554,https://twitter.com/elonmusk/status/1045788510039371777,,,
